annee;region;categorie;pourcentage
2017;Bretagne;femmes;49,08046005
2018;Bretagne;femmes;48,58117214
2019;Bretagne;femmes;51,44712334
2020;Bretagne;femmes;48,68601084
2016;Centre - Val-de-Loire;femmes;46,48093009
2017;Centre - Val-de-Loire;femmes;46,29793178
2018;Centre - Val-de-Loire;femmes;49,09376916
2019;Centre - Val-de-Loire;femmes;52,83683454
2020;Centre - Val-de-Loire;femmes;51,9852332
2016;Corse;femmes;
2017;Corse;femmes;
2018;Corse;femmes;
2019;Corse;femmes;
2020;Corse;femmes;
2016;Grand-Est;femmes;43,05914409
2017;Grand-Est;femmes;48,10618103
2018;Grand-Est;femmes;47,25069339
2019;Grand-Est;femmes;48,51310282
2020;Grand-Est;femmes;45,17837402
2016;Hauts-de-France;femmes;48,08461721
2017;Hauts-de-France;femmes;47,87546663
2018;Hauts-de-France;femmes;49,14916534
2019;Hauts-de-France;femmes;51,63559423
2020;Hauts-de-France;femmes;50,43759729
2016;Ile-de-France;femmes;48,24895249
2017;Ile-de-France;femmes;47,23771538
2018;Ile-de-France;femmes;46,47932332
2019;Ile-de-France;femmes;50,19557975
2020;Ile-de-France;femmes;47,44241211
2016;Normandie;femmes;49,00713248
2017;Normandie;femmes;47,4349695
2018;Normandie;femmes;50,81455419
2019;Normandie;femmes;49,0082407
2020;Normandie;femmes;50,03640479
2016;Nouvelle Aquitaine;femmes;48,47639002
2017;Nouvelle Aquitaine;femmes;48,01433586
2018;Nouvelle Aquitaine;femmes;48,53550609
2019;Nouvelle Aquitaine;femmes;50,14225743
2020;Nouvelle Aquitaine;femmes;46,51311984
2016;Occitanie;femmes;46,06533611
2017;Occitanie;femmes;48,50992298
2018;Occitanie;femmes;47,89016051
2019;Occitanie;femmes;47,33418208
2020;Occitanie;femmes;49,09786358
2016;Pays de la Loire;femmes;46,27174666
2017;Pays de la Loire;femmes;46,66018083
2018;Pays de la Loire;femmes;48,02860221
2019;Pays de la Loire;femmes;48,69860791
2020;Pays de la Loire;femmes;45,74859569
2016;Provence-Alpes-Côte-d'Azur;femmes;51,10546077
2017;Provence-Alpes-Côte-d'Azur;femmes;47,29477542
2018;Provence-Alpes-Côte-d'Azur;femmes;47,23874266
2019;Provence-Alpes-Côte-d'Azur;femmes;50,01102375
2020;Provence-Alpes-Côte-d'Azur;femmes;48,25991584
2016;Auvergne - Rhône-Alpes;enfants (3-14 ans);16,55388825
2017;Auvergne - Rhône-Alpes;enfants (3-14 ans);17,68787471
2018;Auvergne - Rhône-Alpes;enfants (3-14 ans);15,82548105
2019;Auvergne - Rhône-Alpes;enfants (3-14 ans);18,47419852
2020;Auvergne - Rhône-Alpes;enfants (3-14 ans);17,13888569
2016;Bourgogne - Franche-Comté;enfants (3-14 ans);17,1503468
2017;Bourgogne - Franche-Comté;enfants (3-14 ans);17,62932788
2018;Bourgogne - Franche-Comté;enfants (3-14 ans);17,61210405
2019;Bourgogne - Franche-Comté;enfants (3-14 ans);19,63817234
2020;Bourgogne - Franche-Comté;enfants (3-14 ans);18,7358149
2016;Bretagne;enfants (3-14 ans);14,22439962
2017;Bretagne;enfants (3-14 ans);15,48389537
2018;Bretagne;enfants (3-14 ans);17,34813182
2019;Bretagne;enfants (3-14 ans);17,64776904
2020;Bretagne;enfants (3-14 ans);16,66717035
2016;Centre - Val-de-Loire;enfants (3-14 ans);15,48605017
2017;Centre - Val-de-Loire;enfants (3-14 ans);15,68203894
2018;Centre - Val-de-Loire;enfants (3-14 ans);15,95866251
2019;Centre - Val-de-Loire;enfants (3-14 ans);19,17449986
2020;Centre - Val-de-Loire;enfants (3-14 ans);18,12886894
2016;Corse;enfants (3-14 ans);
2017;Corse;enfants (3-14 ans);
2018;Corse;enfants (3-14 ans);
2019;Corse;enfants (3-14 ans);
2020;Corse;enfants (3-14 ans);
2016;Grand-Est;enfants (3-14 ans);14,13702218
2017;Grand-Est;enfants (3-14 ans);15,41179993
2018;Grand-Est;enfants (3-14 ans);15,61256355
2019;Grand-Est;enfants (3-14 ans);18,35070931
2020;Grand-Est;enfants (3-14 ans);18,7903603
2016;Hauts-de-France;enfants (3-14 ans);17,12266898
2017;Hauts-de-France;enfants (3-14 ans);17,02293091
2018;Hauts-de-France;enfants (3-14 ans);17,00364586
2019;Hauts-de-France;enfants (3-14 ans);20,58407776
2020;Hauts-de-France;enfants (3-14 ans);18,68209934
2016;Ile-de-France;enfants (3-14 ans);12,61813997
2017;Ile-de-France;enfants (3-14 ans);14,4038993
2018;Ile-de-France;enfants (3-14 ans);13,58130189
2019;Ile-de-France;enfants (3-14 ans);14,92074857
2020;Ile-de-France;enfants (3-14 ans);14,60949877
2016;Normandie;enfants (3-14 ans);16,63421991
2017;Normandie;enfants (3-14 ans);16,39259148
2018;Normandie;enfants (3-14 ans);17,65560676
2019;Normandie;enfants (3-14 ans);18,93966032
2020;Normandie;enfants (3-14 ans);20,29283765
2016;Nouvelle Aquitaine;enfants (3-14 ans);15,02690615
2017;Nouvelle Aquitaine;enfants (3-14 ans);16,48035419
2018;Nouvelle Aquitaine;enfants (3-14 ans);16,65126115
2019;Nouvelle Aquitaine;enfants (3-14 ans);18,2775566
2020;Nouvelle Aquitaine;enfants (3-14 ans);19,07602104
2016;Occitanie;enfants (3-14 ans);15,85716329
2017;Occitanie;enfants (3-14 ans);15,75862949
2018;Occitanie;enfants (3-14 ans);16,24157717
2019;Occitanie;enfants (3-14 ans);19,44862162
2020;Occitanie;enfants (3-14 ans);18,38821259
2016;Pays de la Loire;enfants (3-14 ans);15,64975445
2017;Pays de la Loire;enfants (3-14 ans);16,69220469
2018;Pays de la Loire;enfants (3-14 ans);17,69103322
2019;Pays de la Loire;enfants (3-14 ans);19,19710686
2020;Pays de la Loire;enfants (3-14 ans);19,19674368
2016;Provence-Alpes-Côte-d'Azur;enfants (3-14 ans);13,86773995
2017;Provence-Alpes-Côte-d'Azur;enfants (3-14 ans);13,81106589
2018;Provence-Alpes-Côte-d'Azur;enfants (3-14 ans);14,42785352
2019;Provence-Alpes-Côte-d'Azur;enfants (3-14 ans);15,94544639
2020;Provence-Alpes-Côte-d'Azur;enfants (3-14 ans);16,10135685
2016;Auvergne - Rhône-Alpes;jeunes (15-24 ans);18,11470506
2017;Auvergne - Rhône-Alpes;jeunes (15-24 ans);18,94196007
2018;Auvergne - Rhône-Alpes;jeunes (15-24 ans);19,80731627
2019;Auvergne - Rhône-Alpes;jeunes (15-24 ans);18,41379033
2020;Auvergne - Rhône-Alpes;jeunes (15-24 ans);20,65139142
2016;Bourgogne - Franche-Comté;jeunes (15-24 ans);20,40853392
2017;Bourgogne - Franche-Comté;jeunes (15-24 ans);21,66767368
2018;Bourgogne - Franche-Comté;jeunes (15-24 ans);19,22162152
2019;Bourgogne - Franche-Comté;jeunes (15-24 ans);17,73787438
2020;Bourgogne - Franche-Comté;jeunes (15-24 ans);19,03064689
2016;Bretagne;jeunes (15-24 ans);19,28810369
2017;Bretagne;jeunes (15-24 ans);19,6949389
2018;Bretagne;jeunes (15-24 ans);19,57643514
2019;Bretagne;jeunes (15-24 ans);16,80608513
2020;Bretagne;jeunes (15-24 ans);16,81394155
2016;Centre - Val-de-Loire;jeunes (15-24 ans);16,38291681
2017;Centre - Val-de-Loire;jeunes (15-24 ans);18,47277355
2018;Centre - Val-de-Loire;jeunes (15-24 ans);21,6744224
2019;Centre - Val-de-Loire;jeunes (15-24 ans);16,93179776
2020;Centre - Val-de-Loire;jeunes (15-24 ans);19,00476013
2016;Corse;jeunes (15-24 ans);
2017;Corse;jeunes (15-24 ans);
2018;Corse;jeunes (15-24 ans);
2019;Corse;jeunes (15-24 ans);
2020;Corse;jeunes (15-24 ans);
2016;Grand-Est;jeunes (15-24 ans);17,54810002
2017;Grand-Est;jeunes (15-24 ans);21,03262218
2018;Grand-Est;jeunes (15-24 ans);19,67237873
2019;Grand-Est;jeunes (15-24 ans);18,47012104
2020;Grand-Est;jeunes (15-24 ans);19,78082503
2016;Hauts-de-France;jeunes (15-24 ans);20,05795052
2017;Hauts-de-France;jeunes (15-24 ans);21,10914278
2018;Hauts-de-France;jeunes (15-24 ans);22,1466235
2019;Hauts-de-France;jeunes (15-24 ans);18,45027818
2020;Hauts-de-France;jeunes (15-24 ans);22,42702797
2016;Ile-de-France;jeunes (15-24 ans);18,07534438
2017;Ile-de-France;jeunes (15-24 ans);21,02985951
2018;Ile-de-France;jeunes (15-24 ans);21,74519276
2019;Ile-de-France;jeunes (15-24 ans);19,66285051
2020;Ile-de-France;jeunes (15-24 ans);22,22211785
2016;Normandie;jeunes (15-24 ans);18,99073823
2017;Normandie;jeunes (15-24 ans);21,66557849
2018;Normandie;jeunes (15-24 ans);22,79951545
2019;Normandie;jeunes (15-24 ans);18,82279663
2020;Normandie;jeunes (15-24 ans);18,95467415
2016;Nouvelle Aquitaine;jeunes (15-24 ans);18,98776142
2017;Nouvelle Aquitaine;jeunes (15-24 ans);20,0305144
2018;Nouvelle Aquitaine;jeunes (15-24 ans);20,82422552
2019;Nouvelle Aquitaine;jeunes (15-24 ans);18,02896883
2020;Nouvelle Aquitaine;jeunes (15-24 ans);19,73491627
2016;Occitanie;jeunes (15-24 ans);15,71971363
2017;Occitanie;jeunes (15-24 ans);16,65087931
2018;Occitanie;jeunes (15-24 ans);17,85405424
2019;Occitanie;jeunes (15-24 ans);16,08099017
2020;Occitanie;jeunes (15-24 ans);18,96973957
2016;Pays de la Loire;jeunes (15-24 ans);17,92042244
2017;Pays de la Loire;jeunes (15-24 ans);18,10909661
2018;Pays de la Loire;jeunes (15-24 ans);18,94466702
2019;Pays de la Loire;jeunes (15-24 ans);17,06412448
2020;Pays de la Loire;jeunes (15-24 ans);15,9981787
2016;Provence-Alpes-Côte-d'Azur;jeunes (15-24 ans);17,44369553
2017;Provence-Alpes-Côte-d'Azur;jeunes (15-24 ans);17,29878471
2018;Provence-Alpes-Côte-d'Azur;jeunes (15-24 ans);17,43097847
2019;Provence-Alpes-Côte-d'Azur;jeunes (15-24 ans);15,616073
2020;Provence-Alpes-Côte-d'Azur;jeunes (15-24 ans);19,95198214
2016;Auvergne - Rhône-Alpes;adultes (25-34 ans);12,76219072
2017;Auvergne - Rhône-Alpes;adultes (25-34 ans);12,5349439
2018;Auvergne - Rhône-Alpes;adultes (25-34 ans);13,88029466
2019;Auvergne - Rhône-Alpes;adultes (25-34 ans);10,72130946
2020;Auvergne - Rhône-Alpes;adultes (25-34 ans);10,84596668
2016;Bourgogne - Franche-Comté;adultes (25-34 ans);11,84618993
2017;Bourgogne - Franche-Comté;adultes (25-34 ans);11,96413677
2018;Bourgogne - Franche-Comté;adultes (25-34 ans);13,75799035
2019;Bourgogne - Franche-Comté;adultes (25-34 ans);10,42131998
2020;Bourgogne - Franche-Comté;adultes (25-34 ans);12,36305502
2016;Bretagne;adultes (25-34 ans);9,797083367
2017;Bretagne;adultes (25-34 ans);9,088355713
2018;Bretagne;adultes (25-34 ans);11,53332655
2019;Bretagne;adultes (25-34 ans);11,20415479
2020;Bretagne;adultes (25-34 ans);11,44036553
2016;Centre - Val-de-Loire;adultes (25-34 ans);11,78047324
2017;Centre - Val-de-Loire;adultes (25-34 ans);10,9795731
2018;Centre - Val-de-Loire;adultes (25-34 ans);11,83229358
2019;Centre - Val-de-Loire;adultes (25-34 ans);10,20899643
2020;Centre - Val-de-Loire;adultes (25-34 ans);9,052873278
2016;Corse;adultes (25-34 ans);
2017;Corse;adultes (25-34 ans);
2018;Corse;adultes (25-34 ans);
2019;Corse;adultes (25-34 ans);
2020;Corse;adultes (25-34 ans);
2016;Grand-Est;adultes (25-34 ans);12,74462098
2017;Grand-Est;adultes (25-34 ans);12,87639064
2018;Grand-Est;adultes (25-34 ans);13,37774318
2019;Grand-Est;adultes (25-34 ans);11,15021562
2020;Grand-Est;adultes (25-34 ans);11,05282297
2016;Hauts-de-France;adultes (25-34 ans);14,38020237
2017;Hauts-de-France;adultes (25-34 ans);12,09378267
2018;Hauts-de-France;adultes (25-34 ans);14,51020785
2019;Hauts-de-France;adultes (25-34 ans);11,47084149
2020;Hauts-de-France;adultes (25-34 ans);10,99932715
2016;Ile-de-France;adultes (25-34 ans);13,80384791
2017;Ile-de-France;adultes (25-34 ans);13,3761403
2018;Ile-de-France;adultes (25-34 ans);14,44839239
2019;Ile-de-France;adultes (25-34 ans);11,78591326
2020;Ile-de-France;adultes (25-34 ans);12,2290344
2016;Normandie;adultes (25-34 ans);11,83536315
2017;Normandie;adultes (25-34 ans);10,39812313
2018;Normandie;adultes (25-34 ans);11,97509131
2019;Normandie;adultes (25-34 ans);9,095852024
2020;Normandie;adultes (25-34 ans);11,78976856
2016;Nouvelle Aquitaine;adultes (25-34 ans);11,3535979
2017;Nouvelle Aquitaine;adultes (25-34 ans);10,85699217
2018;Nouvelle Aquitaine;adultes (25-34 ans);11,64498647
2019;Nouvelle Aquitaine;adultes (25-34 ans);9,126380167
2020;Nouvelle Aquitaine;adultes (25-34 ans);10,27698205
2016;Occitanie;adultes (25-34 ans);13,36618651
2017;Occitanie;adultes (25-34 ans);10,94804132
2018;Occitanie;adultes (25-34 ans);11,91982864
2019;Occitanie;adultes (25-34 ans);8,704129112
2020;Occitanie;adultes (25-34 ans);9,373332628
2016;Pays de la Loire;adultes (25-34 ans);13,59426554
2017;Pays de la Loire;adultes (25-34 ans);11,68387027
2018;Pays de la Loire;adultes (25-34 ans);11,57581643
2019;Pays de la Loire;adultes (25-34 ans);9,303281149
2020;Pays de la Loire;adultes (25-34 ans);9,976987642
2016;Provence-Alpes-Côte-d'Azur;adultes (25-34 ans);11,43146127
2017;Provence-Alpes-Côte-d'Azur;adultes (25-34 ans);10,06186127
2018;Provence-Alpes-Côte-d'Azur;adultes (25-34 ans);12,56168327
2019;Provence-Alpes-Côte-d'Azur;adultes (25-34 ans);10,09076266
2020;Provence-Alpes-Côte-d'Azur;adultes (25-34 ans);9,497077206
2016;Auvergne - Rhône-Alpes;séniors (35-49 ans);16,95454571
2017;Auvergne - Rhône-Alpes;séniors (35-49 ans);16,32776322
2018;Auvergne - Rhône-Alpes;séniors (35-49 ans);17,73302584
2019;Auvergne - Rhône-Alpes;séniors (35-49 ans);13,80647249
2020;Auvergne - Rhône-Alpes;séniors (35-49 ans);13,29764343
2016;Bourgogne - Franche-Comté;séniors (35-49 ans);17,52314944
2017;Bourgogne - Franche-Comté;séniors (35-49 ans);15,35592005
2018;Bourgogne - Franche-Comté;séniors (35-49 ans);17,20371526
2019;Bourgogne - Franche-Comté;séniors (35-49 ans);13,5332635
2020;Bourgogne - Franche-Comté;séniors (35-49 ans);12,36738949
2016;Bretagne;séniors (35-49 ans);17,88672778
2017;Bretagne;séniors (35-49 ans);15,04447161
2018;Bretagne;séniors (35-49 ans);15,52970346
2019;Bretagne;séniors (35-49 ans);13,0488941
2020;Bretagne;séniors (35-49 ans);12,11999425
2016;Centre - Val-de-Loire;séniors (35-49 ans);14,50722503
2017;Centre - Val-de-Loire;séniors (35-49 ans);13,40351845
2018;Centre - Val-de-Loire;séniors (35-49 ans);16,26027204
2019;Centre - Val-de-Loire;séniors (35-49 ans);13,35449163
2020;Centre - Val-de-Loire;séniors (35-49 ans);12,84490788
2016;Corse;séniors (35-49 ans);
2017;Corse;séniors (35-49 ans);
2018;Corse;séniors (35-49 ans);
2019;Corse;séniors (35-49 ans);
2020;Corse;séniors (35-49 ans);
2016;Grand-Est;séniors (35-49 ans);17,02854578
2017;Grand-Est;séniors (35-49 ans);15,58713341
2018;Grand-Est;séniors (35-49 ans);17,74716568
2019;Grand-Est;séniors (35-49 ans);13,88502962
2020;Grand-Est;séniors (35-49 ans);12,54565812
2016;Hauts-de-France;séniors (35-49 ans);18,56047231
2017;Hauts-de-France;séniors (35-49 ans);16,10687811
2018;Hauts-de-France;séniors (35-49 ans);17,86046056
2019;Hauts-de-France;séniors (35-49 ans);14,33133571
2020;Hauts-de-France;séniors (35-49 ans);12,90637742
2016;Ile-de-France;séniors (35-49 ans);15,87840775
2017;Ile-de-France;séniors (35-49 ans);14,92644905
2018;Ile-de-France;séniors (35-49 ans);15,75560075
2019;Ile-de-France;séniors (35-49 ans);12,79627397
2020;Ile-de-France;séniors (35-49 ans);11,16024143
2016;Normandie;séniors (35-49 ans);16,00055924
2017;Normandie;séniors (35-49 ans);13,97908477
2018;Normandie;séniors (35-49 ans);15,65550417
2019;Normandie;séniors (35-49 ans);12,46589885
2020;Normandie;séniors (35-49 ans);11,97345643
2016;Nouvelle Aquitaine;séniors (35-49 ans);16,06841245
2017;Nouvelle Aquitaine;séniors (35-49 ans);15,29251502
2018;Nouvelle Aquitaine;séniors (35-49 ans);16,81646576
2019;Nouvelle Aquitaine;séniors (35-49 ans);13,98486401
2020;Nouvelle Aquitaine;séniors (35-49 ans);13,32312833
2016;Occitanie;séniors (35-49 ans);16,76319963
2017;Occitanie;séniors (35-49 ans);15,50934796
2018;Occitanie;séniors (35-49 ans);17,41699956
2019;Occitanie;séniors (35-49 ans);14,39160188
2020;Occitanie;séniors (35-49 ans);14,21873749
2016;Pays de la Loire;séniors (35-49 ans);16,58390819
2017;Pays de la Loire;séniors (35-49 ans);15,62166307
2018;Pays de la Loire;séniors (35-49 ans);16,00809869
2019;Pays de la Loire;séniors (35-49 ans);13,15367324
2020;Pays de la Loire;séniors (35-49 ans);12,10221407
2016;Provence-Alpes-Côte-d'Azur;séniors (35-49 ans);16,25209483
2017;Provence-Alpes-Côte-d'Azur;séniors (35-49 ans);13,99256507
2018;Provence-Alpes-Côte-d'Azur;séniors (35-49 ans);14,58944136
2019;Provence-Alpes-Côte-d'Azur;séniors (35-49 ans);11,92621277
2020;Provence-Alpes-Côte-d'Azur;séniors (35-49 ans);11,13674031
2016;Auvergne - Rhône-Alpes;vétérans (50 ans et plus);35,61467026
2017;Auvergne - Rhône-Alpes;vétérans (50 ans et plus);34,50745811
2018;Auvergne - Rhône-Alpes;vétérans (50 ans et plus);32,75388219
2019;Auvergne - Rhône-Alpes;vétérans (50 ans et plus);38,58422921
2020;Auvergne - Rhône-Alpes;vétérans (50 ans et plus);38,06611278
2016;Bourgogne - Franche-Comté;vétérans (50 ans et plus);33,0717799
2017;Bourgogne - Franche-Comté;vétérans (50 ans et plus);33,38294162
2018;Bourgogne - Franche-Comté;vétérans (50 ans et plus);32,20456882
2019;Bourgogne - Franche-Comté;vétérans (50 ans et plus);38,6693698
2020;Bourgogne - Franche-Comté;vétérans (50 ans et plus);37,50309369
2016;Bretagne;vétérans (50 ans et plus);38,80368555
2017;Bretagne;vétérans (50 ans et plus);40,6883384
2018;Bretagne;vétérans (50 ans et plus);36,01240303
2019;Bretagne;vétérans (50 ans et plus);41,29309693
2020;Bretagne;vétérans (50 ans et plus);42,95852833
2016;Centre - Val-de-Loire;vétérans (50 ans et plus);41,84333476
2017;Centre - Val-de-Loire;vétérans (50 ans et plus);41,46209597
2018;Centre - Val-de-Loire;vétérans (50 ans et plus);34,27434947
2019;Centre - Val-de-Loire;vétérans (50 ans et plus);40,33021432
2020;Centre - Val-de-Loire;vétérans (50 ans et plus);40,96858977
2016;Corse;vétérans (50 ans et plus);
2017;Corse;vétérans (50 ans et plus);
2018;Corse;vétérans (50 ans et plus);
2019;Corse;vétérans (50 ans et plus);
2020;Corse;vétérans (50 ans et plus);
2016;Grand-Est;vétérans (50 ans et plus);38,54171105
2017;Grand-Est;vétérans (50 ans et plus);35,09205384
2018;Grand-Est;vétérans (50 ans et plus);33,59014886
2019;Grand-Est;vétérans (50 ans et plus);38,1439244
2020;Grand-Est;vétérans (50 ans et plus);37,83033359
2016;Hauts-de-France;vétérans (50 ans et plus);29,87870582
2017;Hauts-de-France;vétérans (50 ans et plus);33,66726554
2018;Hauts-de-France;vétérans (50 ans et plus);28,47906223
2019;Hauts-de-France;vétérans (50 ans et plus);35,16346687
2020;Hauts-de-France;vétérans (50 ans et plus);34,98516813
2016;Ile-de-France;vétérans (50 ans et plus);39,62425999
2017;Ile-de-France;vétérans (50 ans et plus);36,26365184
2018;Ile-de-France;vétérans (50 ans et plus);34,46951222
2019;Ile-de-France;vétérans (50 ans et plus);40,83421369
2020;Ile-de-France;vétérans (50 ans et plus);39,77910755
2016;Normandie;vétérans (50 ans et plus);36,53911946
2017;Normandie;vétérans (50 ans et plus);37,56462213
2018;Normandie;vétérans (50 ans et plus);31,91428231
2019;Normandie;vétérans (50 ans et plus);40,67579217
2020;Normandie;vétérans (50 ans et plus);36,98926321
2016;Nouvelle Aquitaine;vétérans (50 ans et plus);38,56332209
2017;Nouvelle Aquitaine;vétérans (50 ans et plus);37,33962422
2018;Nouvelle Aquitaine;vétérans (50 ans et plus);34,0630611
2019;Nouvelle Aquitaine;vétérans (50 ans et plus);40,5822304
2020;Nouvelle Aquitaine;vétérans (50 ans et plus);37,58895231
2016;Occitanie;vétérans (50 ans et plus);38,29373694
2017;Occitanie;vétérans (50 ans et plus);41,13310192
2018;Occitanie;vétérans (50 ans et plus);36,56754038
2019;Occitanie;vétérans (50 ans et plus);41,37465722
2020;Occitanie;vétérans (50 ans et plus);39,04997772
2016;Pays de la Loire;vétérans (50 ans et plus);36,25164938
2017;Pays de la Loire;vétérans (50 ans et plus);37,89316536
2018;Pays de la Loire;vétérans (50 ans et plus);35,78038463
2019;Pays de la Loire;vétérans (50 ans et plus);41,28181427
2020;Pays de la Loire;vétérans (50 ans et plus);42,72587591
2016;Provence-Alpes-Côte-d'Azur;vétérans (50 ans et plus);41,00500841
2017;Provence-Alpes-Côte-d'Azur;vétérans (50 ans et plus);44,83572307
2018;Provence-Alpes-Côte-d'Azur;vétérans (50 ans et plus);40,99004339
2019;Provence-Alpes-Côte-d'Azur;vétérans (50 ans et plus);46,42150517
2020;Provence-Alpes-Côte-d'Azur;vétérans (50 ans et plus);43,31284349
2016;Auvergne - Rhône-Alpes;CSP+;28,38790171
2017;Auvergne - Rhône-Alpes;CSP+;30,1799225
2018;Auvergne - Rhône-Alpes;CSP+;30,16806857
2019;Auvergne - Rhône-Alpes;CSP+;26,40937716
2020;Auvergne - Rhône-Alpes;CSP+;27,76596612
2016;Bourgogne - Franche-Comté;CSP+;25,00847094
2017;Bourgogne - Franche-Comté;CSP+;27,04252671
2018;Bourgogne - Franche-Comté;CSP+;28,85309224
2019;Bourgogne - Franche-Comté;CSP+;24,79204818
2020;Bourgogne - Franche-Comté;CSP+;24,3968545
2016;Bretagne;CSP+;27,47933225
2017;Bretagne;CSP+;28,59193365
2018;Bretagne;CSP+;29,59405018
2019;Bretagne;CSP+;27,18269784
2020;Bretagne;CSP+;28,73708913
2016;Centre - Val-de-Loire;CSP+;25,03290304
2017;Centre - Val-de-Loire;CSP+;28,07109825
2018;Centre - Val-de-Loire;CSP+;27,45168725
2019;Centre - Val-de-Loire;CSP+;25,03133848
2020;Centre - Val-de-Loire;CSP+;24,48983905
2016;Corse;CSP+;
2017;Corse;CSP+;
2018;Corse;CSP+;
2019;Corse;CSP+;
2020;Corse;CSP+;
2016;Grand-Est;CSP+;27,27387593
2017;Grand-Est;CSP+;29,49363454
2018;Grand-Est;CSP+;29,81360496
2019;Grand-Est;CSP+;27,64348359
2020;Grand-Est;CSP+;26,70769611
2016;Hauts-de-France;CSP+;25,5963805
2017;Hauts-de-France;CSP+;28,67321672
2018;Hauts-de-France;CSP+;28,31712988
2019;Hauts-de-France;CSP+;24,65503796
2020;Hauts-de-France;CSP+;26,22283016
2016;Ile-de-France;CSP+;36,38083595
2017;Ile-de-France;CSP+;37,14010592
2018;Ile-de-France;CSP+;37,83529472
2019;Ile-de-France;CSP+;34,93253518
2020;Ile-de-France;CSP+;34,90045757
2016;Normandie;CSP+;25,75079426
2017;Normandie;CSP+;27,48817
2018;Normandie;CSP+;26,68151894
2019;Normandie;CSP+;25,11520329
2020;Normandie;CSP+;29,44569963
2016;Nouvelle Aquitaine;CSP+;28,7425947
2017;Nouvelle Aquitaine;CSP+;29,2008991
2018;Nouvelle Aquitaine;CSP+;28,34660147
2019;Nouvelle Aquitaine;CSP+;28,10424714
2020;Nouvelle Aquitaine;CSP+;27,7903502
2016;Occitanie;CSP+;29,53512395
2017;Occitanie;CSP+;30,90816715
